study,year,order,fg,lat,temp,int_rate,vi
1,2021,Lepidoptera,borer,42.6391,10,0.043610281508300416,0.0033
1,2021,Lepidoptera,borer,42.6391,10,-0.004408137010761318,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.03448292286134401,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.05153276864682893,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.02200058337345437,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.044273338232716467,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.04238308543789614,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.07325255565143687,0.0033
1,2021,Lepidoptera,borer,42.6391,10,-0.0039056288440192134,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.02719716199032185,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.049350379953318924,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.0354547352876397,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.025545716077461873,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.04771700268656057,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.00731467960861585,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.03155617647109615,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.010067105942936678,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.015472105139984196,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.02888290528312816,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.03191387807563967,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.016662808352516857,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.005637275777005433,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.020934092816964373,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.027922857239727206,0.0033
1,2021,Lepidoptera,borer,42.6391,10,-0.008716520478842232,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.015228243724262335,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.03727893453631602,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.009789828538927643,0.0033
1,2021,Lepidoptera,borer,42.6391,10,-0.012490792746471944,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.03990758575174609,0.0033
1,2021,Lepidoptera,borer,42.6391,10,-0.010468527580470007,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.021083215009619363,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.030487545447559154,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.05041752506764195,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.0809401635808537,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.024747536865013253,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.012766302284494048,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.013561800402075101,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.01903753190677008,0.0033
1,2021,Lepidoptera,borer,42.6391,10,0.015578977130391266,0.0033
1,2021,Lepidoptera,borer,42.6391,15,0.04849046296895147,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.05286034632451941,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.07876582116565067,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.09283977664089973,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.09504520510000067,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.04579503987466336,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.06400746045577346,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.06699359391338086,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.06567624778682006,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.08870456851624339,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.023320814975286867,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.03278551935064923,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.08859325742666138,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.08486601189898593,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.023472400167661334,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.009116776827479411,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.04025758503225801,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.019160936570248206,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.07282982287365687,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.03305440993457118,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.02765652452595263,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.03067600065518801,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.024733307178139707,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.06380164869626125,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.0739126211471571,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.030584611220888496,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.058521185126333315,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.03285345544424231,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.07642337914185195,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.027881974438003873,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.0400438668760256,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.06086104057795866,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.010932059046716291,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.075919313994006,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.0326427528503733,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.03214957930375966,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.07727187126987362,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.0427297287460952,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.09806194377347734,0.0041
1,2021,Lepidoptera,borer,42.6391,15,0.08770707818333444,0.0041
1,2021,Lepidoptera,borer,42.6391,20,0.13413168444676452,0.00458
1,2021,Lepidoptera,borer,42.6391,20,0.09000774474596249,0.00458
1,2021,Lepidoptera,borer,42.6391,20,0.06846879625835603,0.00458
